Cattext_name                ;Dialogfenster                                    ;Parameter                                                     ;Oberbegriff                                                   ;Bezeichnung                                                                                  ;Vorlage_txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Text_pfad
Surveillance des signes vitaux ; Surveillance de MDD_SaO2 ; SpO2 / Fréquence respiratoire ; Surveillance de SpO2 ; ;
Surveillance des signes vitaux ; MDD_AF ; SpO2 / Fréquence respiratoire ; Fréquence respiratoire ; ;
Signes vitaux ; Pression artérielle / Fréquence cardiaque ; MDD_HF ; Pression artérielle / Fréquence cardiaque ; Fréquence cardiaque ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; Tension artérielle / Fréquence cardiaque ; MDD_HF ; Fréquence cardiaque ; Premier diagnostic RD ; Premier diagnostic RD
Valeurs vitales; Tension artérielle / Fréquence cardiaque; MDD_PF; Tension artérielle / Fréquence cardiaque; Fréquence du pouls de SpO2; ;
Valeurs vitales ;Pression artérielle / Fréquence cardiaque ;MDD_IBP-syst ;Pression artérielle / Fréquence cardiaque ;Pression artérielle systémique ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; MDD_IBP ; Tension artérielle / Fréquence cardiaque ; avec art Pression ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_IBP-moyen ; Pression artérielle / Fréquence cardiaque ; avec pression art ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_IBP-diast ; Pression artérielle / Fréquence cardiaque ; Pression art Dia ; ;
Valeurs vitales ;Tension artérielle / Fréquence cardiaque ;MDD_NBP-syst ;Tension artérielle / Fréquence cardiaque ;Pression Sys non invasif ; ;
Valeurs vitales ;Pression artérielle / Fréquence cardiaque ;Pression artérielle / Fréquence cardiaque ;MDD_NBP-syst ;Pression non invasive Sys ;Premier diagnostic RD ;Premier diagnostic RD
Valeurs vitales ; Pression sanguine / Fréquence cardiaque ; MDD_NBP ; Pression sanguine / Fréquence cardiaque ; Avec pression non invasive ; ;
Signes vitaux ; Tension artérielle / Fréquence cardiaque ; MDD_NBP-moyenne ; Tension artérielle / Fréquence cardiaque ; Avec pression non invasive ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_NBP-diast ; Pression artérielle / Fréquence cardiaque ; Pression non invasive Dia ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; Tension artérielle / Fréquence cardiaque ; MDD_NBP-diast ; Pression diastolique non invasive ; RD Premier diagnostic ; RD Premier diagnostic
Signes vitaux ; Pression artérielle pulmonaire ; MDD_PAP-syst ; Pression artérielle pulmonaire ; Pression Sys PAP ; ;
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP ; Pression artérielle pulmonaire ; Avec pression PAP ; ;
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP-moyenne ; pression artérielle pulmonaire ; Avec la pression PAP ; ;
Signes vitaux ; Pression artérielle pulmonaire ; MDD_PAP-diast ; Pression artérielle pulmonaire ; Pression PAP diastolique ; ;
Surveillance des signes vitaux ; fréquence respiratoire spontanée ; SpO2 / fréquence respiratoire ; fréquence respiratoire spontanée ; ;
Surveillance des signes vitaux ; MDD_SAO2_2 ; SaO2 - Diagnostique ; SpO2 - Diagnostique ; ;
Surveillance des signes vitaux ; Surveillance MDD_Temp ; Température ; Température ; ;
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure auriculaire ; Mesure auriculaire
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure rectale ; Mesure rectale
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure sous-linguale ; Mesure sous-linguale
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure axillaire ; Mesure axillaire
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; --- ; ---
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Premier diagnostic RD ; Premier diagnostic RD
Surveillance des signes vitaux ; Surveillance TBlut ; Température du sang ; TBlut ; ;
Surveillance des signes vitaux ; Surveillance MDD_Temp1 ; Surveillance supplémentaire de la température ; Surveillance supplémentaire de la température ; ;
Valeurs vitales ;Hémodynamique ;MDD_ZVD ;ZVD ;ZVD (mmHg) ; ;
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Point de mesure : V. Jugulaire int. ; Point de mesure : V. Jugulaire int.
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Point de mesure : Aine ; Point de mesure : Aine
Vitalités ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Point de mesure Subclavia ;Point de mesure Subclavia
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;sans ventilation ;sans ventilation
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; avec ventilation PEEP........ ; avec ventilation PEEP........
Paramètres vitaux ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Courbe non significative ; Courbe non significative
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Onde A présente ;Onde A présente
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Vague V présente ; Vague V présente
Valeurs vitales ; Hémodynamique PICCO ; MDD_C.I. ; CI (3-5) ; CI [l/min/m2] Indice cardiaque ; ;
Surveillance des signes vitaux ; MDD_SQI ; SQI ; SQI ; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_SV ;SV ;SV [ml] Volume d'éjection systolique ; ;
Surveillance des signes vitaux ; MDD_Tblood ; Température ; Température du sang (PICCO) ; ;
Surveillance des signes vitaux ; MDD_BIS ; BIS ; BIS ; ;
Surveillance des signes vitaux ; MDD_Temp2 ; Surveillance supplémentaire de la température 2 ; Surveillance supplémentaire de la température 2 ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_SVV ; SVV ; SVV [%] Variation du Volume d'Éjection Systolique ; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_SVRI ;SVRI ( 1700-2400 ) ;SVRI ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_EVLWI ; EVLWI (3-7) ; EVLWI [ml/kg] Index d'eau pulmonaire extravasculaire ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_ITBVI ; ITBVI ( 850-1000 ) ; ITBVI [ml/m2] Index de volume sanguin intrathoracique ; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_GEDVI ; GEDVI ( 680-800 ) ; GEDVI [ml/m2] Index de volume end-diastolique global ; ;
Valeurs vitales ;Hémodynamique PICCO ;MDD_HI ;HI (3-5) ;HI ; ;
Vitalwerte; Hémodynamique PICCO; MDD_KOF; KOF; KOF;;
Signes vitaux ; Tension artérielle / Fréquence cardiaque ; MDD_ICP ; ICP (Pression intracrânienne) ; ICP (Pression intracrânienne) ; ;
Valeurs vitales ;NIRS ;rSO2 frontal dr. ;NIRS ;rSO2 frontal dr. ; ;
Valeurs vitales ;NIRS ;rSO2 frontal li. ;NIRS ;rSO2 frontal li. ; ;
Valeurs vitales ;NIRS ;Mirus (MAC) ;NIRS ;Mirus (MAC) ; ;
Valeurs vitales ;Test1_alt ;TestPara1 ;Test1_alt ;TestPara1 ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque_ancienne ; Pression intraabdominale ; Pression intraabdominale_ancienne ; Pression intraabdominale ; ;
Valeurs vitales ;Commentaire ;Commentaire_3 ;Commentaire ;Commentaire ; ;
Valeurs vitales ;Hémodynamique PICCO_alt ;MDD_CFI ;CFI_alt ;CFI [1/min] ; ;
Valeurs vitales ; Narkotrend ; Stade / Indice ; Narkotrend ; Stade / Indice ; ;
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;A ;A
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade / Index ;Stade / Index ;B0 ;B0
Valeurs vitales ; Narkotrend ; Narkotrend ; Stade / Index ; Stade / Index ; B1 ; B1
Valeurs vitales ; Narkotrend ; Narkotrend ; Stade / Index ; Stade / Index ; B2 ; B2
Valeurs vitales ; Narkotrend ; Narkotrend ; Stade / Index ; Stade / Index ; C0 ; C0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C1 ;C1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;C2 ;C2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;D0 ;D0
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;D1 ;D1
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;D2 ;D2
Valeurs vitales ;Narkotrend ;Narkotrend ;Stade /Index ;Stade /Index ;E0 ;E0
Valeurs vitales ; Narkotrend ; Narkotrend ; Stade / Index ; Stade / Index ; E1 ; E1
