Cattext_name                ;Dialogfenster                                    ;Parameter                                                     ;Oberbegriff                                                   ;Bezeichnung                                                                                  ;Vorlage_txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Text_pfad
Vital signs monitoring; MDD_SaO2; SpO2 / Respiration rate; SpO2 - monitoring; ;
Vital signs monitoring; MDD_AF; SpO2 / Respiratory rate; Respiratory rate; ;
Vital Signs; Blood Pressure / Heart Rate; MDD_HF; Blood Pressure / Heart Rate; Heart Rate; ;
Vital signs; Blood pressure / Heart rate; Blood pressure / Heart rate; MDD_HF; Heart rate; RD Initial diagnosis; RD Initial diagnosis
Vital signs ;Blood pressure / Heart rate ;MDD_PF ;Blood pressure / Heart rate ;Pulse rate of SpO2 ; ;
Vital Signs; Blood Pressure / Heart Rate; MDD_IBP-syst; Blood Pressure / Heart Rate; Systolic arterial Pressure; ;
Vital signs; Blood pressure / Heart rate; MDD_IBP; Blood pressure / Heart rate; with art pressure; ;
Vital signs; Blood pressure / Heart rate; MDD_IBP-mean; Blood pressure / Heart rate; with type pressure; ;
Vital Signs; Blood Pressure / Heart Rate; MDD_IBP-diastolic; Blood Pressure / Heart Rate; Arterial Dia Pressure;;
Vital signs; Blood pressure / Heart rate; MDD_NBP-syst; Blood pressure / Heart rate; Non-invasive systolic pressure;;
Vital signs; Blood pressure / Heart rate; Blood pressure / Heart rate; MDD_NBP-syst; Non-invasive systolic pressure; Initial diagnosis; Initial diagnosis
Vital Signs; Blood Pressure / Heart Rate; MDD_NBP; Blood Pressure / Heart Rate; With noninvasive Pressure; ;
Vital signs; Blood Pressure / Heart Rate; MDD_NBP-mean; Blood pressure / Heart rate; With non-invasive pressure; ;
Vital signs; Blood pressure / Heart rate; MDD_NBP-diast; Blood pressure / Heart rate; Dia non-inv pressure;;
Vital signs; Blood pressure / Heart rate; Blood pressure / Heart rate; MDD_NBP-diast; Dia noninvasive pressure; RD Initial diagnosis; RD Initial diagnosis
Vital signs; Pulmonary Arterial Pressure; MDD_PAP-syst; pulmonary arterial pressure; Sys PAP Pressure;;
Vital signs; Pulmonary arterial pressure; MDD_PAP; Pulmonary arterial pressure; With PAP pressure; ;
Vital signs; Pulmonary arterial pressure; MDD_PAP-mean; pulmonary arterial pressure; With PAP pressure;;
Vital signs ;Pulmonary Arterial Pressure ;MDD_PAP-diast ;pulmonary arterial pressure ;Dia PAP Pressure ; ;
Vital signs monitoring; Spontaneous breathing rate; SpO2 / Breathing rate; Spontaneous breathing rate;;
Vital signs monitoring; MDD_SAO2_2; SaO2 - Diagnostics; SpO2 - Diagnostics; ;
Vital Signs Monitoring; MDD_Temp; Temperature; Temperature; ;
Vital signs monitoring; Temperature; MDD_Temp; Temperature; Ear measurement; Ear measurement
Vital signs monitoring; Temperature; MDD_Temp; Temperature; Rectal measurement; Rectal measurement
Vital signs monitoring; Temperature; MDD_Temp; Temperature; Sublingual measurement; Sublingual measurement
Vital signs monitoring; Temperature; MDD_Temp; Temperature; Axillary measurement; Axillary measurement
Vital signs monitoring; Temperature; MDD_Temp; Temperature; ---; ---
Vital signs monitoring; Temperature; MDD_Temp; Temperature; RD Initial diagnosis; RD Initial diagnosis
Vital signs monitor; Blood; Temperature Blood; Blood; ;
Vital Signs Monitoring; MDD_Temp1; Additional Temperature Monitoring; Additional Temperature Monitoring;;
Vital signs; Hemodynamics; MDD_CVP; CVP; CVP (mmHg); ;
"Vital signs; Hemodynamics; CVP; MDD_CVP; CVP (mmHg); Measurement point: V. Jugularis int.; Measurement point: V. Jugularis int. 

(Note: ZVD stands for ""Zentraler Venendruck"" in German which translates to ""Central Venous Pressure"" in English, similarly abbreviated as CVP. ""V. Jugularis int"" refers to the internal jugular vein.)"
Vital signs; Hemodynamics; CVP; MDD_CVP; CVP (mmHg); Measurement point: groin; Measurement point: groin
Vital parameters; Hemodynamics; CVP; MDD_CVP; CVP (mmHg); Measurement point Subclavia; Measurement point Subclavia
Vital signs; Hemodynamics; CVP; MDD_CVP; CVP (mmHg); without ventilation; without ventilation
Vital signs; Hemodynamics; CVP; MDD_CVP; CVP (mmHg); with ventilation PEEP........; with ventilation PEEP........
Vital Signs; Hemodynamics; CVP ;MDD_CVP ;CVP (mmHg) ;Curve inconspicuous ;Curve inconspicuous
Vital signs; Hemodynamics; CVP; MDD_CVP; CVP (mmHg); A-wave present; A-wave present
"Vital Signs; Hemodynamics; CVP; MDD_CVP; CVP (mmHg); V-Wave present; V-Wave present.
(Note: CVP refers to Central Venous Pressure and MDD refers to Maximum Daily Dose, however, it's unclear how it's contextually applied here so translation might not be accurate.)"
Vital signs; Hemodynamics PICCO; MDD_C.I .; CI (3-5); CI [l/min/m2] Cardiac Index;;
Vital signs monitoring; MDD_SQI; SQI; SQI; ;
Vital signs; Hemodynamics PICCO; MDD_SV; SV; SV [ml] Stroke volume; ;
Vital signs monitoring; MDD_Tblood; Temperature; Blood Temperature (PICCO); ;
Vital Signs Monitoring; MDD_BIS; BIS; BIS; ;
Vital signs monitoring; MDD_Temp2; Additional temperature monitoring 2; Additional temperature monitoring 2; ;
Vital signs; Hemodynamics PICCO; MDD_SVV; SVV; SVV [%] Stroke Volume Variation; ;
Vital signs; Hemodynamics PICCO; MDD_SVRI; SVRI (1700-2400); SVRI; ;
Vital signs; Hemodynamics PICCO; MDD_EVLWI; EVLWI (3-7); EVLWI [ml/kg] extravascular lung water index;;
Vital Signs; Hemodynamics PICCO; MDD_ITBVI; ITBVI (850-1000); ITBVI [ml/m2] intrathoracic blood volume index; ;
Vital Signs; Hemodynamics PICCO; MDD_GEDVI; GEDVI (680-800); GEDVI [ml/m2] Global End-diastolic Volume Index; ;
"It seems like this text is not in a recognizable non-English language. It appears to be a mix of medical and technical terms. In English, this text would generally mean:

Vital Signs; Hemodynamics PICCO; MDD_HI; HI (3-5); HI; ;"
