Cattext_name                ;Dialogfenster                                    ;Parameter                                                     ;Oberbegriff                                                   ;Bezeichnung                                                                                  ;Vorlage_txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Text_pfad
Surveillance des signes vitaux ; Surveillance de la MDD_SaO2 ; SpO2 / Fréquence respiratoire ; Surveillance du SpO2 ; ;
Surveillance des signes vitaux ; MDD_AF ; SpO2 / Fréquence respiratoire ; Fréquence respiratoire ; ;
Valeurs vitales ;Pression artérielle / Fréquence cardiaque ;MDD_HF ;Pression artérielle / Fréquence cardiaque ;Fréquence cardiaque ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; Pression artérielle / Fréquence cardiaque ; MDD_HF ; Fréquence cardiaque ; RD Premier diagnostic ; RD Premier diagnostic
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_PF ; Pression artérielle / Fréquence cardiaque ; Fréquence du pouls de SpO2 ; ;
Vital signes ;Pression artérielle / Fréquence cardiaque ;MDD_IBP-syst ;Pression artérielle / Fréquence cardiaque ;Pression artérielle systolique ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_IBP ; Pression artérielle / Fréquence cardiaque ; avec pression art ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_IBP-moyenne ; Pression artérielle / Fréquence cardiaque ; avec art Pression ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; MDD_IBP-diast ; Tension artérielle / Fréquence cardiaque ; Pression art Dia ;;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_NBP-syst ; Pression artérielle / Fréquence cardiaque ; Pression Sys non invasive ; ;
Valeurs vitales ;Pression artérielle / Fréquence cardiaque ;Pression artérielle / Fréquence cardiaque ;MDD_NBP-syst ;Pression Sys non invasive ;RD Première conclusion ;RD Première conclusion
Valeurs vitales ;Pression artérielle / Fréquence cardiaque ;MDD_NBP ;Pression artérielle / Fréquence cardiaque ;Avec pression non invasive ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_NBP-moyenne ; Pression artérielle / Fréquence cardiaque ; Avec pression non invas ; ;
Valeurs vitales ; Pression artérielle / Fréquence cardiaque ; MDD_NBP-diast ; Pression artérielle / Fréquence cardiaque ; Dia pression non invasive ; ;
Valeurs vitales ; Tension artérielle / Fréquence cardiaque ; Tension artérielle / Fréquence cardiaque ; MDD_NBP-diast ; Pression non invasive Dia ; RD Premier diagnostic ; RD Premier diagnostic
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP-syst ; Pression artérielle pulmonaire ; Pression Sys PAP ; ;
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP ; Pression artérielle pulmonaire ; Avec la pression PAP ; ;
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP-moyenne ; pression artérielle pulmonaire ; Avec pression PAP ; ;
Valeurs vitales ; Pression artérielle pulmonaire ; MDD_PAP-diast ; pression artérielle pulmonaire ; Dia PAP Pression ; ;
Surveillance des signes vitaux ; Fréquence respiratoire spontanée ; SpO2 / Fréquence respiratoire ; Fréquence respiratoire spontanée ; ;
Surveillance des signes vitaux ; MDD_SAO2_2 ; SaO2 - Diagnostic ; SpO2 - Diagnostic ; ;
Surveillance des signes vitaux; MDD_Temp; Température; Température; ;
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure auriculaire ; Mesure auriculaire
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure rectale ; Mesure rectale
Surveillance des signes vitaux ; Surveillance ; Température ; MDD_Temp ; Température ; Mesure sublinguale ; Mesure sublinguale
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; Mesure axillaire ; Mesure axillaire
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; --- ; ---
Surveillance des signes vitaux ; Température ; MDD_Temp ; Température ; RD Premier diagnostic ; RD Premier diagnostic
Surveillance des signes vitaux ; Surveillance du sang ; Température du sang ; Température du sang ; ;
Surveillance des signes vitaux ; Surveillance MDD_Temp1 ; Surveillance supplémentaire de la température ; Surveillance supplémentaire de la température ; ;
Valeurs vitales ; Hémodynamique ; MDD_ZVD ; ZVD ; ZVD (mmHg) ; ;
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Point de mesure : V. Jugularis int. ;Point de mesure : V. Jugularis int.
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Point de mesure : Aine ;Point de mesure : Aine
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;Point de mesure Subclavia ;Point de mesure Subclavia
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; sans ventilation ; sans ventilation
Valeurs vitales ;Hémodynamique ;ZVD ;MDD_ZVD ;ZVD (mmHg) ;avec ventilation PEEP........ ;avec ventilation PEEP........
Valeurs vitales ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Courbe non suspicieuse ; Courbe non suspicieuse
Valeurs vitales; Hémodynamique; ZVD; MDD_ZVD; ZVD (mmHg); A- Vague présente; A- Vague présente
Signes vitaux ; Hémodynamique ; ZVD ; MDD_ZVD ; ZVD (mmHg) ; Onde V présente ; Onde V présente
Valeurs vitales ;Hémodynamique PICCO ;MDD_C.I. ;CI (3-5) ;CI [l/min/m2] Indice Cardiaque ; ;
Surveillance des signes vitaux ; MDD_SQI ; SQI ; SQI ; ;
Valeurs vitales ; Hémodynamique PICCO ; MDD_SV ; SV ; SV [ml] Volume d'éjection systolique ; ;
Surveillance des signes vitaux ; MDD_Tblood ; Température ; Température du sang (PICCO) ; ;
Surveillance des signes vitaux ; MDD_BIS ; BIS ; BIS ; ;
